First Name,Middle Name,Last Name,Title,Suffix,Nickname,Given Yomi,Surname Yomi,E-mail Address,E-mail 2 Address,E-mail 3 Address,Home Phone,Home Phone 2,Business Phone,Business Phone 2,Mobile Phone,Car Phone,Other Phone,Primary Phone,Pager,Business Fax,Home Fax,Other Fax,Company Main Phone,Callback,Radio Phone,Telex,TTY/TDD Phone,IMAddress,Job Title,Department,Company,Office Location,Manager's Name,Assistant's Name,Assistant's Phone,Company Yomi,Business Street,Business City,Business State,Business Postal Code,Business Country/Region,Home Street,Home City,Home State,Home Postal Code,Home Country/Region,Other Street,Other City,Other State,Other Postal Code,Other Country/Region,Personal Web Page,Spouse,Schools,Hobby,Location,Web Page,Birthday,Anniversary,Notes
,,,,,,,,Marianne.Moore@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Marianne Moore
Phone : (207) 287-1505"
,,,,,,,,Joseph.Martin@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph Martin
Phone : (207) 287-1505"
,,,,,,,,James.Libby@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : James D. Libby
Phone : (207) 287-1505"
,,,,,,,,Mark.Lawrence@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Mark W. Lawrence
Phone : (207) 287-1515"
,,,,,,,,Henry.Ingwersen@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Henry L. Ingwersen
Phone : (207) 287-1515"
,,,,,,,,Craig.Hickman@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Craig V. Hickman
Phone : (207) 287-1515"
,,,,,,,,Matt.Harrington@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Matt A. Harrington
Phone : (207) 287-1505"
,,,,,,,,David.Haggan@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : David Haggan
Phone : (207) 287-1505"
,,,,,,,,Stacey.Guerin@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Stacey K. Guerin
Phone : (207) 287-1505"
,,,,,,,,Nicole.Grohoski@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Nicole C. Grohoski
Phone : (207) 287-1515"
,,,,,,,,Brad.Farrin@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Bradlee T. Farrin
Phone : (207) 287-1505"
,,,,,,,,Jill.Duson@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jill C. Duson
Phone : (207) 287-1515"
,,,,,,,,Mattie.Daughtry@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Matthea E. L. Daughtry
Phone : (207) 287-1515"
,,,,,,,,Scott.Cyrway@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Scott Cyrway
Phone : (207) 287-1505"
,,,,,,,,Chip.Curry@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Chip Curry
Phone : (207) 287-1515"
,,,,,,,,Anne.Carney@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Anne M. Carney
Phone : (207) 287-1515"
,,,,,,,,Stacy.Brenner@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Stacy F. Brenner
Phone : (207) 287-1515"
,,,,,,,,Richard.Bradstreet@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Richard Bradstreet
Phone : (207) 287-1505"
,,,,,,,,Russell.Black@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Russell J. Black
Phone : (207) 287-1505"
,,,,,,,,Bruce.Bickford@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Bruce Bickford
Phone : (207) 287-1505"
,,,,,,,,Susan.Bernard@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Susan Bernard
Phone : (207) 287-1505"
,,,,,,,,Richard.Bennett@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Richard A. Bennett
Phone : (207) 287-1505"
,,,,,,,,Pinny.Beebe-Center@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Pinny H. Beebe-Center
Phone : (207) 287-1515"
,,,,,,,,Joe.Baldacci@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph M. Baldacci
Phone : (207) 287-1515"
,,,,,,,,Donna.Bailey@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Donna Bailey
Phone : (207) 287-1515"
Michelle,,,,,,,,,,,3367902500,,,,,,,,,,,,,,,,,,,,Cola Drivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony,,Huynh,,,,,,,,,13366861439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Valencia
Sheriff Name : Denise Vigil
Phone : 505-866-3333
Address : 543 Luna Los Lunas NM 87031"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Union
Sheriff Name : Curtis Skaggs
Phone : 575-374-2584
Address : 100 Court Clayton NM 88415"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Torrance
Sheriff Name : David Frazee
Phone : 505-544-4900
Address : 403 N. 5th Street Estancia NM 87016"
,,,,,,,,steve.miera@taoscounty.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Taos
Sheriff Name : Steve Miera
Phone : 575-737-6480
Address : 599 Lovato Place Taos NM 87571"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Socorro
Sheriff Name : Lee Polo Armijo
Phone : 575-835-0941
Address : 200 Church Socorro NM 87801"
,,,,,,,,jbaker@sierraco.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Sierra
Sheriff Name : Joshua Baker
Phone : 575-894-9150
Address : 855 Van Patten St T or C NM 87901"
,,,,,,,,shfconcerns@santafecountynm.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Santa Fe
Sheriff Name : Adan Mendoza
Phone : 505-986-2428
Address : 35 Camino Justicia Santa Fe NM 87508"
,,,,,,,,sheriffs_office@sandovalcountynm.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Sandoval
Sheriff Name : Jesse J. Casaus
Phone : 505-867-7526
Address : 1500 Idalia Rd Bernalillo NM 87004"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : San Miguel
Sheriff Name : Christopher Lopez
Phone : 505-425-7589
Address : 26 NM Hwy 283 Las Vegas NM 87701"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : San Juan
Sheriff Name : Shane Ferrari
Phone : 505-334-6107
Address : 211 Oliver Aztec NM 87410"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Roosevelt
Sheriff Name : Jaime Roybal
Phone : 575-356-4400
Address : 104 W 1st St Portales NM 88130"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Rio Arriba
Sheriff Name : Billy Jarrell
Phone : 505-753-5553
Address : 626 SR 554 Española NM 87532"
,,,,,,,,dennis.garcia@quaycounty-nm.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Quay
Sheriff Name : Dennis Garcia
Phone : 575-461-2720
Address : 216 E Center St Tucumcari NM 88401"
,,,,,,,,dblack@co.otero.nm.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Otero
Sheriff Name : David Black
Phone : 575-443-2935
Address : 3208 N White Sands Blvd Alamogordo NM 88310"
,,,,,,,,apadilla@countyofmora.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Mora
Sheriff Name : Americk Padilla
Phone : 575-387-2222
Address : 187 NM-518 Mora NM 87732"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : McKinley
Sheriff Name : Shane Ferrari
Phone : 505-863-1410
Address : 1000 East Aztec Ave Gallup NM 87301"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Luna
Sheriff Name : Michael E. Brown
Phone : 575-546-2655
Address : 1000 E. Pine St Deming NM 88030"
,,,,,,,,bcsorecords@bernco.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Los Alamos
Sheriff Name : Jason Wardlow Herrera
Phone : 505-662-8222
Address : 2500 Trinity Dr Los Alamos NM 87544"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Lincoln
Sheriff Name : Michael Wood
Phone : 575-648-2341
Address : 300 Central Ave Carrizozo NM 88301"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Lea
Sheriff Name : Corey Helton
Phone : 575-396-3611
Address : 1412 W. Sanger Hobbs NM 88240"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Hidalgo
Sheriff Name : Warren Walter
Phone : 575-542-3211
Address : 101 E. 2nd St Lordsburg NM 88045"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Harding
Sheriff Name : Pedro Lorenzo Bolin
Phone : 575-673-2211
Address : 15 Pine St Mosquero NM 87733"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Guadalupe
Sheriff Name : Lorenzo Mata
Phone : 575-472-3711
Address : 117 5th Santa Rosa NM 88435"
,,,,,,,,rvillanueva@grantcountynm.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Grant
Sheriff Name : Raul Villanueva
Phone : 575-574-0100
Address : 214 North Black Silver City NM 88061"
,,,,,,,,hutchinsonm@co.eddy.nm.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Eddy
Sheriff Name : Matt Hutchinson
Phone : 575-887-7551
Address : 102 North Canal Carlsbad NM 88220"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Dona Ana
Sheriff Name : Kim Stewart
Phone : 575-525-1911
Address : 845 Motel Blvd Las Cruces NM 88005"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : DeBaca
Sheriff Name : Robert Roybal
Phone : 575-355-7433
Address : 248 Ave C Fort Sumner NM 88119"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Curry
Sheriff Name : Micheal Brockett
Phone : 575-769-2335
Address : 700 North Main Clovis NM 88102"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Colfax
Sheriff Name : Leonard Baca
Phone : 575-445-5561
Address : 1413 South 2nd Raton NM 87740"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Cibola
Sheriff Name : Larry Diaz
Phone : 505-876-2053
Address : 114 McBride Road Grants NM 87020"
,,,,,,,,mike.herrington@chavescounty.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Chaves
Sheriff Name : Mike Herrington
Phone : 575-624-6500
Address : #1 St. Mary's Place Roswell NM 88202"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Catron
Sheriff Name : Kieth Hughes
Phone : 575-533-6222
Address : 100 Main Reserve NM 87830"
,,,,,,,,bcsorecords@bernco.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Bernalillo
Sheriff Name : John Allen
Phone : 505-468-7089
Address : 400 Roma NW Albuquerque NM 87102"
,,,,,,,,SenZwicker@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Andrew Zwicker
Phone : 908-308-8672"
,,,,,,,,SenWimberly@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?
,,,,,,,,SenVitale@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph F. Vitale
Phone : 732-855-7441"
,,,,,,,,SenTurner@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Shirley K. Turner
Phone : 609-323-7239"
,,,,,,,,SenTiver@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?
,,,,,,,,SenTimberlake@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Britnee Timberlake
Phone : 973-395-1166"
,,,,,,,,SenTesta@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?
,,,,,,,,SenStack@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Brian P. Stack
Phone : 201-721-5263"
,,,,,,,,SenBSmith@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Bob Smith
Phone : 732-752-0770"
,,,,,,,,SenSpace@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?
,,,,,,,,SenSingleton@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Troy Singleton
Phone : 856-234-2790"
,,,,,,,,SenSinger@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Robert Singer
Phone : 732-987-5669"
,,,,,,,,SenScutari@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Nicholas Scutari
Phone : 732-827-7480"
,,,,,,,,SenSchepisi@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?
,,,,,,,,SenSarlo@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Paul Sarlo
Phone : 201-804-8118"
,,,,,,,,SenRuiz@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : M. Teresa Ruiz
Phone : 973-484-1000"
,,,,,,,,SenPolistina@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Vincent Polistina
Phone : 609-677-8266"
,,,,,,,,SenPennacchio@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph Pennacchio
Phone : 973-227-4012"
,,,,,,,,SenOscanlon@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Declan O'Scanlon
Phone : 732-444-1838"
,,,,,,,,SenMukherji@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Raj Mukherji
Phone : 201-626-4000"
,,,,,,,,SenMoriarty@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Paul Moriarty
Phone : 856-232-6700"
,,,,,,,,SenMcknight@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Angela McKnight
Phone : 201-360-2502"
,,,,,,,,SenMckeon@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : John McKeon
Phone : 862-930-7071"
,,,,,,,,SenLagana@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph Lagana
Phone : 201-576-9199"
,,,,,,,,SenJohnson@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Gordon Johnson
Phone : 201-308-7060"
,,,,,,,,SenHolzapfel@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : James Holzapfel
Phone : 732-840-9028"
,,,,,,,,SenHenry@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?
,,,,,,,,SenGreenstein@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Linda Greenstein
Phone : 609-395-9911"
,,,,,,,,SenGopal@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Vin Gopal
Phone : 732-695-3371"
,,,,,,,,SenDiegnan@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Patrick Diegnan
Phone : 908-757-1677"
,,,,,,,,SenCryan@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph Cryan
Phone : 908-624-0880"
,,,,,,,,SenCruzperez@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?
,,,,,,,,SenBurzichelli@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : John Burzichelli
Phone : 856-226-3530"
,,,,,,,,SenBurgess@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Renee C. Burgess
Phone : (862) 231-6577"
,,,,,,,,SenBucco@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Anthony M. Bucco
Phone : 973-627-9700"
,,,,,,,,SenBramnick@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jon Bramnick
Phone : 908-232-2073"
,,,,,,,,SenBeach@njleg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : James Beach
Phone : 856-429-1572"
,,,,,,,,senatorwilliamsgraves@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Angelia Williams Graves
District : 21
Phone : (804) 698-7521"
,,,,,,,,senatorvanvalkenburg@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Schuyler T. VanValkenburg
District : 16
Phone : (804) 698-7516"
